affiliation_name,year,publication_count,distinct_authors
"""CRECIENDO""",2021,1,1
"""Dr. Teodoro Maldonado Carbo"" Hospital",2017,2,1
"""Dr. Teodoro Maldonado Carbo"" Hospital",2019,2,2
"""Dr. Teodoro Maldonado Carbo"" Hospital",2020,1,1
"""Dr. Teodoro Maldonado Carbo"" Hospital",2021,2,1
"""Dr. Teodoro Maldonado Carbo"" Hospital",2022,2,1
"""Teodoro Maldonado Carbo"" Hospital",2016,1,1
"""Teodoro Maldonado Carbo"" Hospital",2017,1,3
'Aguarico' Project,1999,1,1
'Aguarico' Project,2000,2,1
'Aguarico' Project,2001,2,1
'Aguarico' Project,2002,3,1
'Aguarico' Project,2003,3,1
'Aguarico' Project,2004,5,1
'Aguarico' Project,2005,2,1
'Aguarico' Project,2008,1,1
'Grupo de Investigación de Ingeniería Biomédica' (GIIB),2015,1,3
'Grupo de Investigación de Ingeniería Biomédica' (GIIB),2016,1,1
'Grupo de Investigación de Ingeniería Biomédica' (GIIB),2018,1,1
13D03 Jipijapa-Puerto López. Ministerio de Salud Pública,2019,1,1
16-310 Quito,2004,1,1
16-310 Quito,2006,1,1
16-310 Quito,2007,1,1
16-310 Quito,2008,1,1
16-310 Quito,2013,1,1
16-310 Quito,2020,1,1
16-310 Quito,2021,4,1
16-310 Quito,2022,3,1
27890Universidad Espíritu Santo,2017,1,1
27890Universidad Espíritu Santo,2018,1,1
27890Universidad Espíritu Santo,2020,1,1
27890Universidad Espíritu Santo,2021,5,1
27890Universidad Espíritu Santo,2022,4,1
360Life Technologies,2016,1,1
360Life Technologies,2017,3,1
360Life Technologies,2019,3,4
360Life Technologies,2020,7,1
360Life Technologies,2021,2,1
360Life Technologies,2022,2,1
3A Composites Research and Development,2019,1,1
3A Composites Research and Development,2020,2,1
ABREC,2015,1,1
ABREC,2020,1,1
ABREC,2021,2,1
ABREC,2022,1,1
ACD Consulting,2017,1,1
ACUATECNOS,1997,2,1
ACUATECNOS,1998,2,3
ACUATECNOS,1999,2,4
ACUATECNOS,2000,3,4
ACUATECNOS,2001,1,4
ACUATECNOS,2002,2,3
ADELCA Aloag,2017,1,2
ADS Software Cia. Ltda.,2019,1,1
ADSTREN Cía. Ltda.,2016,2,2
ADSTREN Cía. Ltda.,2017,2,1
ADSTREN Cía. Ltda.,2018,1,1
ADSTREN Cía. Ltda.,2019,1,3
ADSTREN Cía. Ltda.,2020,1,3
ADSTRENCia Ltda.,2014,3,1
ADSTRENCia Ltda.,2015,9,1
ADSTRENCia Ltda.,2016,13,3
ADSTRENCia Ltda.,2017,19,2
ADSTRENCia Ltda.,2018,10,2
ADSTRENCia Ltda.,2019,24,5
ADSTRENCia Ltda.,2020,9,4
ADSTRENCia Ltda.,2021,12,1
ADSTRENCia Ltda.,2022,3,1
AECC,2011,1,1
AECC,2013,1,1
AECE Research Group from Association of Clinical Endocrinologists of Ecuador,2005,1,1
AECE Research Group from Association of Clinical Endocrinologists of Ecuador,2016,1,2
AECE Research Group from Association of Clinical Endocrinologists of Ecuador,2017,4,3
AECE Research Group from Association of Clinical Endocrinologists of Ecuador,2018,4,7
AECE Research Group from Association of Clinical Endocrinologists of Ecuador,2019,1,4
AECE Research Group from Association of Clinical Endocrinologists of Ecuador,2020,2,5
AECE Research Group from Association of Clinical Endocrinologists of Ecuador,2021,4,2
AECE Research Group from Association of Clinical Endocrinologists of Ecuador,2022,1,1
AF Hidrotecnología Cia. Ltda.,2017,1,1
AGROCALIDAD,2015,3,6
AGROCALIDAD,2016,10,14
AGROCALIDAD,2017,10,13
AGROCALIDAD,2018,9,15
AGROCALIDAD,2019,10,9
AGROCALIDAD,2020,21,13
AGROCALIDAD,2021,7,7
AGROCALIDAD,2022,5,3
AGROGAL,2009,1,1
AGRUPAR,2019,1,1
AGUA Foundation,2006,1,1
AInstituto Tecnológico Superior 17 de Julio-Yachay,2016,3,1
AInstituto Tecnológico Superior 17 de Julio-Yachay,2017,8,2
AInstituto Tecnológico Superior 17 de Julio-Yachay,2018,12,1
AInstituto Tecnológico Superior 17 de Julio-Yachay,2019,10,1
AInstituto Tecnológico Superior 17 de Julio-Yachay,2020,11,1
AInstituto Tecnológico Superior 17 de Julio-Yachay,2021,5,1
ALAI,2007,1,1
AMDE Corp.,1998,1,1
AMDE Corp.,2009,1,2
ARCHISS Group,2006,1,1
ARCO Oriente Inc.,1998,1,1
ARCO Oriente Inc.,2000,1,3
ARCSA,2017,1,1
ASK Solutions,2016,1,1
ASSE Ecuador,2014,1,1
ASTEC,2014,1,1
ASTEC,2018,2,1
ATUK Consultoría Estratégica,2018,1,1
ATUK Consultoría Estratégica,2019,5,2
ATUK Consultoría Estratégica,2020,2,2
ATUK Consultoría Estratégica,2021,3,2
ATUK Consultoría Estratégica,2022,6,2
Abogado de los Tribunales de la República del Ecuador,2022,1,1
Academia Cotopaxi,2005,1,1
Academia Cotopaxi,2010,1,1
Academia Cotopaxi,2013,1,1
Academia Cotopaxi,2017,1,1
Academia Cotopaxi,2018,1,1
Academia Ecuatoriana de Historia Eclesiástica,2015,1,1
Academia Ecuatoriana de Medicina,1979,1,1
Academia Ecuatoriana de Medicina,1981,2,1
Academia Ecuatoriana de Medicina,1995,1,1
Academia Ecuatoriana de la Lengua,2019,1,1
Academia Ecuatoriana de la Lengua,2021,1,1
Academia Nacional de Historia del Ecuador,2019,1,1
Academia de Defensa Militar,2020,1,1
Academia de Defensa Militar,2021,1,1
Academia de Defensa Militar Conjunta,2020,1,1
Academia de Guerra Naval,2018,2,2
Academia del Conocimiento,2020,1,2
Academia del Conocimiento,2021,1,2
Academie Equatorienne Neurosci.,1985,2,1
Academie Equatorienne Neurosci.,1989,1,1
Academie Equatorienne Neurosci.,1991,1,2
Academie Equatorienne Neurosci.,1993,1,1
Academie Equatorienne Neurosci.,1994,1,2
Academie Equatorienne Neurosci.,1995,2,2
Academie Equatorienne Neurosci.,1996,1,1
Academie Equatorienne Neurosci.,1997,1,1
Academie Equatorienne Neurosci.,1999,2,2
Academie Equatorienne Neurosci.,2000,1,1
Academie Equatorienne Neurosci.,2006,1,1
Academie Equatorienne Neurosci.,2009,1,1
Academie Equatorienne Neurosci.,2017,1,1
Academy of Medicine,1992,1,1
Academy of Neurosciences,1985,2,1
Academy of Neurosciences,1989,1,1
Academy of Neurosciences,1991,1,1
Academy of Neurosciences,1993,1,1
Academy of Neurosciences,1994,1,1
Academy of Neurosciences,1995,2,1
Academy of Neurosciences,1996,1,1
Academy of Neurosciences,1997,1,2
Academy of Neurosciences,1999,2,1
Academy of Neurosciences,2000,1,1
Academy of Neurosciences,2006,1,1
Academy of Neurosciences,2009,1,1
Academy of Neurosciences,2017,1,2
Acción Ecológica,2011,1,2
Acción Ecológica,2013,1,2
Acción Ecológica,2014,1,1
Acción Ecológica,2015,1,1
Acción Ecológica,2017,2,1
Acción Ecológica,2018,1,1
Acción Ecológica,2019,1,1
Acción Ecológica,2020,2,1
Acción Ecológica,2021,1,1
Acreditacion y Aseguramiento de la Calidad de la Educacion Sup. de Ecuador,2012,1,1
Acreditacion y Aseguramiento de la Calidad de la Educacion Sup. de Ecuador,2015,1,1
Acreditacion y Aseguramiento de la Calidad de la Educacion Sup. de Ecuador,2016,1,1
Acreditacion y Aseguramiento de la Calidad de la Educacion Sup. de Ecuador,2017,2,1
Acreditacion y Aseguramiento de la Calidad de la Educacion Sup. de Ecuador,2018,1,1
Acreditacion y Aseguramiento de la Calidad de la Educacion Sup. de Ecuador,2020,2,1
Acreditacion y Aseguramiento de la Calidad de la Educacion Sup. de Ecuador,2022,1,1
Actualmente trabajando en el Hospital Básico San José de Taisha,2021,1,1
Acuacultura del Guaya,2016,1,1
Acuatilsa,2018,1,1
Administración,2016,1,1
